"geolocation_zip_code_prefix","geolocation_lat","geolocation_lng","geolocation_city","geolocation_state"
1128,-23.52296856571061,-46.64174928255675,"sao paulo","SP"
1109,-23.52535537275657,-46.62754223036526,"sao paulo","SP"
1132,-23.51929180460501,-46.64980089647411,"sao paulo","SP"
1108,-23.523759575364924,-46.632415452132214,"sao paulo","SP"
1107,-23.52200490201405,-46.63397365860703,"sao paulo","SP"
1154,-23.53158118373822,-46.66174681473255,"sao paulo","SP"
1152,-23.52916893282939,-46.652148460730544,"sao paulo","SP"
1134,-23.51867680707737,-46.6531159131789,"são paulo","SP"
1144,-23.523623507357588,-46.67201579877662,"sao paulo","SP"
1129,-23.5259237463212,-46.64213177601138,"sao paulo","SP"
1105,-23.533744232586976,-46.63063486274458,"sao paulo","SP"
1126,-23.52915073382772,-46.64042336234055,"sao paulo","SP"
1142,-23.519934305152642,-46.6251300217966,"sao paulo","SP"
1133,-23.522591105747573,-46.65104901471518,"sao paulo","SP"
1101,-23.533718588348,-46.633278362782676,"sao paulo","SP"
1189,-23.532108255063786,-46.63839470107914,"sao paulo","SP"
1202,-23.530243903687488,-46.65091042186511,"são paulo","SP"
1230,-23.532734734664448,-46.65432444907378,"sao paulo","SP"
1221,-23.546015329447737,-46.64900196003804,"sao paulo","SP"
1217,-23.533844773241405,-46.649406636130216,"sao paulo","SP"
1243,-23.549469779069792,-46.65509829793992,"sao paulo","SP"
1203,-23.53711937968148,-46.64438743865777,"sao paulo","SP"
1214,-23.535695813466788,-46.641413138853494,"sao paulo","SP"
1257,-23.54507217346644,-46.684380577990645,"sao paulo","SP"
1231,-23.5367081559813,-46.659641841104495,"sao paulo","SP"
1216,-23.535972856679678,-46.651407002063245,"sao paulo","SP"
1226,-23.534478565641407,-46.655027617404315,"são paulo","SP"
1220,-23.542757999999992,-46.64547398167813,"sao paulo","SP"
1223,-23.54377251788917,-46.6482729970858,"sao paulo","SP"
1213,-23.536400280050746,-46.64003758881069,"sao paulo","SP"
1227,-23.53729011798077,-46.65443089812821,"sao paulo","SP"
1240,-23.543786942841372,-46.65861209437925,"sao paulo","SP"
1258,-23.544993101304172,-46.685597180824026,"sao paulo","SP"
1222,-23.54715957646145,-46.64989460560333,"são paulo","SP"
1211,-23.53582223582903,-46.65160504929902,"sao paulo","SP"
1244,-23.54499336358131,-46.65968022344037,"sao paulo","SP"
1238,-23.54195269441404,-46.659317621559275,"sao paulo","SP"
1204,-23.536801152374625,-46.64441627185642,"sao paulo","SP"
1234,-23.53705549985577,-46.66361722052618,"sao paulo","SP"
1228,-23.54839279655493,-46.659018341392965,"sao paulo","SP"
1224,-23.541718547319537,-46.64883066180968,"sao paulo","SP"
1229,-23.54108734139297,-46.65733920275258,"sao paulo","SP"
1232,-23.53676737440136,-46.65507313113857,"sao paulo","SP"
1218,-23.53154468082404,-46.650668668330546,"são paulo","SP"
1215,-23.537982300854093,-46.64927618235322,"são paulo","SP"
1239,-23.54878169302905,-46.65745981155858,"sao paulo","SP"
1205,-23.531760471002325,-46.64592571455356,"são paulo","SP"
1201,-23.53435725950717,-46.649356297391655,"sao paulo","SP"
1259,-23.54335652677597,-46.68394637301635,"sao paulo","SP"
1210,-23.540860990564926,-46.64385528059898,"são paulo","SP"
1249,-23.547565948929552,-46.66977043395458,"sao paulo","SP"
1212,-23.53751125583271,-46.63705730743676,"são paulo","SP"
1248,-23.547307547319537,-46.667891551070454,"sao paulo","SP"
1233,-23.540299470713855,-46.662783605199316,"sao paulo","SP"
1219,-23.540223573951273,-46.64527713809213,"sao paulo","SP"
1235,-23.53645971856428,-46.66424678602334,"sao paulo","SP"
1209,-23.539446764643067,-46.639378335968615,"sao paulo","SP"
1236,-23.54169219568345,-46.66747262574287,"sao paulo","SP"
1206,-23.535535799324883,-46.64305202830518,"sao paulo","SP"
1207,-23.536840620318518,-46.64039303580703,"sao paulo","SP"
1251,-23.547008263113852,-46.67399273506847,"são paulo","SP"
1242,-23.547526626983622,-46.655803272693156,"sao paulo","SP"
1241,-23.54567660866176,-46.65699347307979,"são paulo","SP"
1208,-23.54082250735759,-46.6397147149576,"sao paulo","SP"
1254,-23.541967854838735,-46.68191419135562,"são paulo","SP"
1255,-23.545782460730546,-46.68119826089218,"sao paulo","SP"
1245,-23.54929680904841,-46.663594548848764,"são paulo","SP"
1225,-23.54064714772717,-46.6482517826705,"sao paulo","SP"
1252,-23.541732051907157,-46.67710841548847,"sao paulo","SP"
1237,-23.54431769357731,-46.66982279920932,"sao paulo","SP"
1200,-23.53156777324141,-46.649869077846425,"sao paulo","SP"
1250,-23.548106335564583,-46.67255083804609,"sao paulo","SP"
1247,-23.55134173476097,-46.66937701435217,"são paulo","SP"
1246,-23.55259069386578,-46.666404879825706,"sao paulo","SP"
1262,-23.550856391462712,-46.67735184892536,"sao paulo","SP"
1253,-23.543207969732908,-46.68024470107913,"sao paulo","SP"
1290,-23.54096134139296,-46.65774870275258,"são paulo","SP"
1256,-23.54856753595123,-46.68329304968547,"são paulo","SP"
1303,-23.550011329447738,-46.64818240521669,"sao paulo","SP"
1309,-23.557323688585658,-46.65692890729416,"são paulo","SP"
1310,-23.556926913670807,-46.6615417904381,"sao paulo","SP"
1323,-23.56360092810872,-46.64096891541434,"sao paulo","SP"
1321,-23.55896103857696,-46.64089188579832,"sao paulo","SP"
1333,-23.563569938946234,-46.651842167089825,"sao paulo","SP"
1314,-23.550271219805023,-46.641530430203645,"sao paulo","SP"
1331,-23.562327520947594,-46.6503277425703,"sao paulo","SP"
1307,-23.549360699694148,-46.654124416873465,"sao paulo","SP"
1318,-23.565038102689147,-46.64731633542034,"sao paulo","SP"
1322,-23.564189902302502,-46.64356963725542,"sao paulo","SP"
1308,-23.55518250513589,-46.65226234401868,"sao paulo","SP"
1306,-23.55433380183505,-46.64967363918865,"sao paulo","SP"
1301,-23.55081279990181,-46.65525802969018,"sao paulo","SP"
1302,-23.547650962519555,-46.64357747515727,"sao paulo","SP"
1312,-23.553646009435052,-46.64827785290552,"sao paulo","SP"
1319,-23.55156260866176,-46.64021297307978,"são paulo","SP"
1316,-23.55298158090484,-46.63977389064572,"sao paulo","SP"
1317,-23.562810947727122,-46.64538049222014,"sao paulo","SP"
1313,-23.55651328780301,-46.650253197291505,"sao paulo","SP"
1324,-23.551359454065434,-46.64339075477531,"sao paulo","SP"
1327,-23.565219296699173,-46.6451517253736,"sao paulo","SP"
1304,-23.552179449622038,-46.652991998615036,"sao paulo","SP"
1332,-23.559874596168275,-46.65312715543303,"sao paulo","SP"
1326,-23.55890828504241,-46.64517207853889,"sao paulo","SP"
1315,-23.552592988343235,-46.64068338732753,"sao paulo","SP"
1325,-23.560404150152927,-46.64409070038665,"sao paulo","SP"
1329,-23.563145744936207,-46.64661879892085,"sao paulo","SP"
1330,-23.55681762392521,-46.64986083625707,"sao paulo","SP"
1311,-23.560566359426364,-46.65761042867444,"sao paulo","SP"
1305,-23.55608304968548,-46.65802268497898,"sao paulo","SP"
1320,-23.557337937272795,-46.63877749362335,"sao paulo","SP"
1328,-23.55542941271852,-46.64533779225575,"sao paulo","SP"
1402,-23.58406691212703,-46.66998067037748,"sao paulo","SP"
1421,-23.56233151289751,-46.66120425339033,"são paulo","SP"
1403,-23.570347358041392,-46.65315099653754,"são paulo","SP"
1409,-23.5613664276935,-46.65759386900565,"sao paulo","SP"
1411,-23.56854685038016,-46.66483313596545,"sao paulo","SP"
1452,-23.56883153079836,-46.69199439364803,"sao paulo","SP"
1423,-23.56891820315661,-46.65699513973691,"sao paulo","SP"
1417,-23.488509625310197,-46.71460628143571,"sao paulo","SP"
1408,-23.569438714409326,-46.66342129141903,"sao paulo","SP"
1455,-23.580690704974273,-46.687518880373965,"sao paulo","SP"
1401,-23.569747571977178,-46.651003571977185,"sao paulo","SP"
1410,-23.558595737434405,-46.65657075535223,"sao paulo","SP"
1453,-23.583435663338896,-46.68646270038665,"sao paulo","SP"
1415,-23.551840037191976,-46.65455309547579,"sao paulo","SP"
1416,-23.55951039494492,-46.66706390175425,"sao paulo","SP"
1445,-23.568346382739897,-46.68910543089613,"sao paulo","SP"
1424,-23.56816235942637,-46.66117892867444,"sao paulo","SP"
1422,-23.55978441771017,-46.666079261036394,"sao paulo","SP"
1419,-23.557767998615013,-46.66267334776961,"sao paulo","SP"
1414,-23.56362276547979,-46.667603824167614,"são paulo","SP"
1420,-23.56851813765943,-46.651915325696834,"sao paulo","SP"
1451,-23.583489065785628,-46.685080550926216,"sao paulo","SP"
1446,-23.57569278212821,-46.67656975659298,"sao paulo","SP"
1406,-23.56582006549717,-46.65801073994457,"são paulo","SP"
1454,-23.58214887261234,-46.686380631831035,"sao paulo","SP"
1426,-23.56259714729301,-46.669688076217156,"sao paulo","SP"
1413,-23.558631830976964,-46.66070142630853,"são paulo","SP"
1433,-23.581884887587318,-46.668486797535884,"são paulo","SP"
1427,-23.57351511795259,-46.661122933521874,"são paulo","SP"
1405,-23.56696412378097,-46.656982707195965,"sao paulo","SP"
1435,-23.579681908967608,-46.66963177269314,"sao paulo","SP"
1449,-23.57629219900167,-46.68142310352586,"sao paulo","SP"
1425,-23.572330354982963,-46.66082327699232,"sao paulo","SP"
1430,-23.881629353829144,-46.643818799723405,"sao paulo","SP"
1404,-23.569943269778943,-46.65709370468581,"sao paulo","SP"
1442,-23.56370226740048,-46.67529085698279,"sao paulo","SP"
1407,-23.5784800999192,-46.675167506520864,"sao paulo","SP"
1418,-23.563121735100218,-46.656566708353616,"sao paulo","SP"
1472,-23.57054369248079,-46.69129667943905,"sao paulo","SP"
1443,-23.567508650008694,-46.684718057995354,"sao paulo","SP"
1428,-23.57646147016561,-46.659331492786634,"sao paulo","SP"
1434,-23.577917008598327,-46.669452601159925,"sao paulo","SP"
1457,-23.578835500692488,-46.69092820399332,"sao paulo","SP"
1412,-23.5644233366611,-46.66684085068378,"são paulo","SP"
1448,-23.57741669608748,-46.67817482139765,"sao paulo","SP"
1456,-23.578504155433034,-46.69011829698763,"sao paulo","SP"
1432,-23.57442069164407,-46.664221986958246,"sao paulo","SP"
1441,-23.57565669776092,-46.68951882930351,"são paulo","SP"
1489,-23.576649988891482,-46.68740004775215,"sao paulo","SP"
1429,-23.57524108520401,-46.66307398459232,"são paulo","SP"
1450,-23.57492547792723,-46.68505199999999,"sao paulo","SP"
1440,-23.564485277829036,-46.674418610595005,"sao paulo","SP"
1438,-23.57032557700971,-46.672992580500825,"sao paulo","SP"
1444,-23.60567565889549,-46.745444682209005,"sao paulo","SP"
1436,-23.572650803768287,-46.66771704607878,"sao paulo","SP"
1447,-23.5725176791506,-46.68071076646074,"sao paulo","SP"
1439,-23.5662832672688,-46.67340369415422,"sao paulo","SP"
1431,-23.578166638380594,-46.662882818512145,"sao paulo","SP"
1437,-23.570954718275814,-46.669696428530216,"sao paulo","SP"
1526,-23.56690212960936,-46.630059203156605,"sao paulo","SP"
1509,-23.567590529834394,-46.63545150721336,"sao paulo","SP"
1504,-23.56375858312654,-46.63899210115993,"sao paulo","SP"
1536,-23.56253963239443,-46.62234397235907,"sao paulo","SP"
1535,-23.569618023313524,-46.624900782272434,"sao paulo","SP"
1511,-23.555682314184303,-46.63309991286275,"sao paulo","SP"
1534,-23.56284740383172,-46.62391126354653,"sao paulo","SP"
1514,-23.553064354682608,-46.627686255804946,"sao paulo","SP"
1529,-23.56935315736629,-46.63690014002537,"sao paulo","SP"
1539,-23.573782561198005,-46.620580667089826,"sao paulo","SP"
1532,-23.57206084762539,-46.636136837497816,"sao paulo","SP"
1542,-23.57081105190717,-46.621145608661784,"sao paulo","SP"
1548,-23.57834655675459,-46.61471087039062,"sao paulo","SP"
1543,-23.575755845951942,-46.62009625506377,"sao paulo","SP"
1544,-23.576922503462445,-46.622911919095145,"sao paulo","SP"
1546,-23.57625295115125,-46.622359675832385,"são paulo","SP"
1523,-23.563663794621693,-46.619290911881784,"sao paulo","SP"
1506,-23.56180273327946,-46.634791829043714,"são paulo","SP"
1518,-23.55893044463037,-46.622923737578624,"sao paulo","SP"
1510,-23.55619865667379,-46.63344748251487,"sao paulo","SP"
1537,-23.569022776299825,-46.62199066665711,"sao paulo","SP"
1531,-23.570124170696488,-46.63265515860704,"sao paulo","SP"
1549,-23.57732126894224,-46.61708484846209,"sao paulo","SP"
1533,-23.57219854010617,-46.639131098245755,"sao paulo","SP"
1525,-23.56700890313921,-46.63752874701368,"sao paulo","SP"
1520,-23.55923866610885,-46.61831887996994,"sao paulo","SP"
1550,-23.57203616319466,-46.615212267413035,"sao paulo","SP"
1503,-23.555488240827952,-46.63559923847351,"são paulo","SP"
1541,-23.568722298084143,-46.61880092397124,"sao paulo","SP"
1545,-23.581373061053768,-46.6178758329102,"sao paulo","SP"
1522,-23.559164674995646,-46.61546691825843,"sao paulo","SP"
1508,-23.56014607245072,-46.63334612585845,"sao paulo","SP"
1519,-23.560075288649074,-46.621829901754246,"sao paulo","SP"
1547,-23.582023554532892,-46.62322245045878,"sao paulo","SP"
1538,-23.573205,-46.62290025,"são paulo","SP"
1501,-23.551931483755602,-46.63569089731083,"são paulo","SP"
1521,-23.56012381877193,-46.62080822384439,"sao paulo","SP"
1530,-23.586145389375964,-46.72796029067322,"sao paulo","SP"
1505,-23.55539651457095,-46.6328610313636,"são paulo","SP"
1502,-23.55498324839867,-46.63569905288811,"sao paulo","SP"
1551,-23.576649380518194,-46.61216232569684,"sao paulo","SP"
1540,-23.564614201223375,-46.620498300305826,"sao paulo","SP"
1528,-23.563268623088483,-46.625678067718866,"sao paulo","SP"
1513,-23.556895554532897,-46.631003704830036,"sao paulo","SP"
1527,-23.563144561198005,-46.62658014155458,"sao paulo","SP"
1524,-23.567045543424396,-46.616112,"sao paulo","SP"
1507,-23.55819745268045,-46.63164907507647,"são paulo","SP"
1512,-23.553644898695826,-46.63261889578163,"sao paulo","SP"
1552,-23.57383590091753,-46.61101337290079,"sao paulo","SP"
1553,-23.57430307573513,-46.60968254215087,"sao paulo","SP"
1516,-23.55948466195392,-46.61446206064973,"sao paulo","SP"
1517,-23.560247933666105,-46.624831454209655,"sao paulo","SP"
2019,-23.498262,-46.62855053996195,"sao paulo","SP"
2069,-23.506887635581972,-46.61434088051819,"sao paulo","SP"
2067,-23.505895624473467,-46.606389972935546,"sao paulo","SP"
2020,-23.49908391697765,-46.632266471919955,"sao paulo","SP"
2075,-23.50202850513589,-46.60034967291817,"sao paulo","SP"
2012,-23.508361230285654,-46.627524189686355,"sao paulo","SP"
2076,-23.50692178074323,-46.598949613509205,"sao paulo","SP"
2035,-23.500395,-46.62233251442673,"são paulo","SP"
2034,-23.50412273877685,-46.624607531165196,"sao paulo","SP"
2022,-23.50623786745398,-46.64043238758518,"são paulo","SP"
2021,-23.499439994171624,-46.633803532748566,"sao paulo","SP"
2080,-23.49781772078598,-46.60657423175024,"sao paulo","SP"
2066,-23.508759080212354,-46.60297304287614,"sao paulo","SP"
2085,-23.4974436813723,-46.612609087021674,"sao paulo","SP"
2030,-23.504769581649203,-46.62470303231385,"sao paulo","SP"
2064,-23.51980758145309,-46.5960457342604,"sao paulo","SP"
2029,-23.51093658735401,-46.62008933890293,"sao paulo","SP"
2060,-23.51886128198398,-46.603822803912536,"sao paulo","SP"
2054,-23.51636255037796,-46.60569249861501,"sao paulo","SP"
2072,-23.500810509290837,-46.60427196058632,"sao paulo","SP"
2017,-23.501381250870146,-46.63920650559182,"são paulo","SP"
2018,-23.493511048012014,-46.63106708174157,"sao paulo","SP"
2043,-23.490223040798675,-46.6173255858965,"sao paulo","SP"
2074,-23.509075809596663,-46.593463835824394,"sao paulo","SP"
2038,-23.49857049347913,-46.6233534590571,"sao paulo","SP"
2016,-23.500977634690624,-46.62712333406575,"sao paulo","SP"
2040,-23.48902299194992,-46.621866902995,"sao paulo","SP"
2056,-23.510640635581964,-46.6040934060534,"são paulo","SP"
2051,-23.512267739107838,-46.60874803052688,"sao paulo","SP"
2041,-23.49010232139766,-46.619729989728214,"sao paulo","SP"
2039,-23.49231066388715,-46.6205286217035,"sao paulo","SP"
2073,-23.50123032361937,-46.60751038343238,"sao paulo","SP"
2082,-23.494670727999353,-46.609653122396004,"sao paulo","SP"
2033,-23.502153793496515,-46.61688101249346,"sao paulo","SP"
2013,-23.5030857485429,-46.63382294171621,"sao paulo","SP"
2079,-23.50036682653355,-46.60264059824574,"sao paulo","SP"
2037,-23.499986521784315,-46.61873041326678,"sao paulo","SP"
2083,-23.495520855675448,-46.599274267557256,"sao paulo","SP"
2068,-23.503208091869112,-46.613024513041715,"sao paulo","SP"
2071,-23.50313753733621,-46.609684480437394,"sao paulo","SP"
2047,-23.51836389286744,-46.61420872522939,"sao paulo","SP"
2078,-23.50246060949849,-46.59374588980903,"sao paulo","SP"
2044,-23.49568082347514,-46.61894670690752,"sao paulo","SP"
2084,-23.495675029141914,-46.599477569248066,"sao paulo","SP"
2055,-23.512952943937893,-46.6083024672514,"sao paulo","SP"
2042,-23.488022399388317,-46.61900150236593,"sao paulo","SP"
2045,-23.49440602396265,-46.617320553160994,"sao paulo","SP"
2036,-23.50210750375091,-46.62196127699232,"sao paulo","SP"
2046,-23.48774784542202,-46.61152878400604,"sao paulo","SP"
2010,-23.514929559813023,-46.62640583152521,"são paulo","SP"
2081,-23.49664721787179,-46.605036185123204,"sao paulo","SP"
2050,-23.516543503202637,-46.61056315903973,"são paulo","SP"
2052,-23.509466926452752,-46.60686750207746,"sao paulo","SP"
2031,-23.51506899745697,-46.6253165150725,"sao paulo","SP"
2028,-23.50751845268047,-46.6174707485429,"sao paulo","SP"
2065,-23.50172637108313,-46.60239776074794,"sao paulo","SP"
2077,-23.501001111575953,-46.59626327601136,"sao paulo","SP"
2011,-23.501902770272533,-46.62622916981285,"sao paulo","SP"
2049,-23.5149758170985,-46.61611264542107,"são paulo","SP"
2032,-23.5107769477988,-46.62390842770356,"sao paulo","SP"
2053,-23.510427444341925,-46.60117949988443,"sao paulo","SP"
2009,-23.515799103830265,-46.64113909097136,"sao paulo","SP"
2089,-23.517094484592327,-46.616673100755904,"sao paulo","SP"
2088,-23.504240259718838,-46.620742066583865,"sao paulo","SP"
2150,-23.495750203445066,-46.568507888424044,"sao paulo","SP"
2133,-23.50029146404877,-46.585615159039705,"sao paulo","SP"
2167,-23.52290394644805,-46.5818040975819,"sao paulo","SP"
2130,-23.50810093865777,-46.58282425353455,"são paulo","SP"
2188,-23.507509473772288,-46.56565713558197,"sao paulo","SP"
2152,-23.498158714409342,-46.573211734116185,"são paulo","SP"
2138,-23.49565160199666,-46.57582722508514,"sao paulo","SP"
2134,-23.499318080212344,-46.57812437246813,"sao paulo","SP"
2176,-23.51226784347044,-46.5737047327312,"sao paulo","SP"
2117,-23.520194563338947,-46.59353892798186,"sao paulo","SP"
2119,-23.513593871775626,-46.592991157366285,"sao paulo","SP"
2131,-23.502810708580967,-46.581761933117846,"sao paulo","SP"
2124,-23.506364755756262,-46.580663755756284,"sao paulo","SP"
2129,-23.505215699694162,-46.58945986733221,"sao paulo","SP"
2132,-23.498331454065447,-46.58041450069247,"sao paulo","SP"
2110,-23.52188843014645,-46.59374225679054,"sao paulo","SP"
2135,-23.49880797114655,-46.57363113448545,"sao paulo","SP"
2127,-23.50238052178431,-46.582730947544576,"sao paulo","SP"
2114,-23.522853341941207,-46.59177958367482,"sao paulo","SP"
2178,-23.51983840466843,-46.57027290507246,"são paulo","SP"
2177,-23.511112774078125,-46.56976216763806,"sao paulo","SP"
2120,-23.510416629107837,-46.59421774735937,"são paulo","SP"
2161,-23.49126218956661,-46.57078597807146,"são paulo","SP"
2112,-23.512668178041054,-46.58665534166385,"são paulo","SP"
2126,-23.506858079375625,-46.591623435051076,"sao paulo","SP"
2169,-23.51932718168024,-46.57580722635044,"sao paulo","SP"
2123,-23.510773697472448,-46.57804828074322,"sao paulo","SP"
2189,-23.50762149708581,-46.56616243450284,"são paulo","SP"
2128,-23.503994905360926,-46.594638241185294,"sao paulo","SP"
2179,-23.519501612268442,-46.56731049610485,"sao paulo","SP"
2136,-23.4982544454671,-46.57847265889549,"são paulo","SP"
2174,-23.523062564007805,-46.57189679679223,"sao paulo","SP"
2186,-23.51335483236194,-46.568773471146564,"sao paulo","SP"
2137,-23.501769233971963,-46.57187320760002,"sao paulo","SP"
2185,-23.512283612268444,-46.56782303996194,"sao paulo","SP"
2181,-23.520932905360926,-46.562709766720545,"são paulo","SP"
2180,-23.51997318512321,-46.56594003802871,"sao paulo","SP"
2111,-23.515789212043405,-46.59197639370418,"sao paulo","SP"
2187,-23.51512571579433,-46.564899501384964,"sao paulo","SP"
2121,-23.51181353788448,-46.58921527477061,"sao paulo","SP"
2190,-23.5099120335853,-46.56318688703905,"sao paulo","SP"
2139,-23.49413493949449,-46.57343969969415,"são paulo","SP"
2143,-23.50799229892086,-46.575217069103864,"sao paulo","SP"
2122,-23.513172191788307,-46.58263962184772,"sao paulo","SP"
2115,-23.526499508561297,-46.5918859350361,"sao paulo","SP"
2118,-23.516611679987307,-46.59476458159733,"sao paulo","SP"
2125,-23.507957137111184,-46.58846138051819,"sao paulo","SP"
2113,-23.51528796497884,-46.587344652368564,"sao paulo","SP"
2147,-23.49955674271452,-46.5652199639332,"são paulo","SP"
2141,-23.489125655104342,-46.575631017278226,"são paulo","SP"
2170,-23.525379999999927,-46.57608999999997,"são paulo","SP"
2166,-23.52506009186911,-46.583738219401,"sao paulo","SP"
2175,-23.51671874128457,-46.57445726194335,"sao paulo","SP"
2168,-23.52017488343239,-46.57883175284207,"são paulo","SP"
2116,-23.522700069940573,-46.58754575881468,"sao paulo","SP"
2145,-23.50149553621103,-46.565292913266774,"sao paulo","SP"
2151,-23.493537729684284,-46.56649157558708,"sao paulo","SP"
2146,-23.500957023313518,-46.570882263950566,"sao paulo","SP"
2144,-23.505075172949205,-46.57083605675562,"sao paulo","SP"
2162,-23.49030645045876,-46.56191043118461,"são paulo","SP"
2142,-23.509860072593554,-46.57548531556785,"sao paulo","SP"
2251,-23.479894623925205,-46.5955112828207,"sao paulo","SP"
2256,-23.47606967638063,-46.587575399388285,"são paulo","SP"
2246,-23.491913479600672,-46.60200386081135,"sao paulo","SP"
2223,-23.47872104025041,-46.58108916028048,"sao paulo","SP"
2225,-23.480339500692484,-46.57586314071786,"sao paulo","SP"
2204,-23.48374058895493,-46.589857093254096,"sao paulo","SP"
2235,-23.47943869386577,-46.5790147857349,"sao paulo","SP"
2245,-23.48347746211553,-46.60599175145708,"sao paulo","SP"
2243,-23.49083843519532,-46.5983578447112,"sao paulo","SP"
2208,-23.481015747157922,-46.58546644517863,"sao paulo","SP"
2222,-23.484630300305838,-46.57788816694557,"sao paulo","SP"
2232,-23.47619014432453,-46.561091238415344,"sao paulo","SP"
2203,-23.491692314184302,-46.590245324311844,"sao paulo","SP"
2250,-23.486549521784305,-46.5946922828207,"sao paulo","SP"
2263,-23.46353280183505,-46.577156081597344,"são paulo","SP"
